"subjectid" "activity_id" "activity" "avg_tBodyAcc.mean...X" "avg_tBodyAcc.mean...Y" "avg_tBodyAcc.mean...Z" "avg_tBodyAcc.std...X" "avg_tBodyAcc.std...Y" "avg_tBodyAcc.std...Z" "avg_tGravityAcc.mean...X" "avg_tGravityAcc.mean...Y" "avg_tGravityAcc.mean...Z" "avg_tGravityAcc.std...X" "avg_tGravityAcc.std...Y" "avg_tGravityAcc.std...Z" "avg_tBodyAccJerk.mean...X" "avg_tBodyAccJerk.mean...Y" "avg_tBodyAccJerk.mean...Z" "avg_tBodyAccJerk.std...X" "avg_tBodyAccJerk.std...Y" "avg_tBodyAccJerk.std...Z" "avg_tBodyGyro.mean...X" "avg_tBodyGyro.mean...Y" "avg_tBodyGyro.mean...Z" "avg_tBodyGyro.std...X" "avg_tBodyGyro.std...Y" "avg_tBodyGyro.std...Z" "avg_tBodyGyroJerk.mean...X" "avg_tBodyGyroJerk.mean...Y" "avg_tBodyGyroJerk.mean...Z" "avg_tBodyGyroJerk.std...X" "avg_tBodyGyroJerk.std...Y" "avg_tBodyGyroJerk.std...Z" "avg_tBodyAccMag.mean.." "avg_tBodyAccMag.std.." "avg_tGravityAccMag.mean.." "avg_tGravityAccMag.std.." "avg_tBodyAccJerkMag.mean.." "avg_tBodyAccJerkMag.std.." "avg_tBodyGyroMag.mean.." "avg_tBodyGyroMag.std.." "avg_tBodyGyroJerkMag.mean.." "avg_tBodyGyroJerkMag.std.." "avg_fBodyAcc.mean...X" "avg_fBodyAcc.mean...Y" "avg_fBodyAcc.mean...Z" "avg_fBodyAcc.std...X" "avg_fBodyAcc.std...Y" "avg_fBodyAcc.std...Z" "avg_fBodyAcc.meanFreq...X" "avg_fBodyAcc.meanFreq...Y" "avg_fBodyAcc.meanFreq...Z" "avg_fBodyAccJerk.mean...X" "avg_fBodyAccJerk.mean...Y" "avg_fBodyAccJerk.mean...Z" "avg_fBodyAccJerk.std...X" "avg_fBodyAccJerk.std...Y" "avg_fBodyAccJerk.std...Z" "avg_fBodyAccJerk.meanFreq...X" "avg_fBodyAccJerk.meanFreq...Y" "avg_fBodyAccJerk.meanFreq...Z" "avg_fBodyGyro.mean...X" "avg_fBodyGyro.mean...Y" "avg_fBodyGyro.mean...Z" "avg_fBodyGyro.std...X" "avg_fBodyGyro.std...Y" "avg_fBodyGyro.std...Z" "avg_fBodyGyro.meanFreq...X" "avg_fBodyGyro.meanFreq...Y" "avg_fBodyGyro.meanFreq...Z" "avg_fBodyAccMag.mean.." "avg_fBodyAccMag.std.." "avg_fBodyAccMag.meanFreq.." "avg_fBodyBodyAccJerkMag.mean.." "avg_fBodyBodyAccJerkMag.std.." "avg_fBodyBodyAccJerkMag.meanFreq.." "avg_fBodyBodyGyroMag.mean.." "avg_fBodyBodyGyroMag.std.." "avg_fBodyBodyGyroMag.meanFreq.." "avg_fBodyBodyGyroJerkMag.mean.." "avg_fBodyBodyGyroJerkMag.std.." "avg_fBodyBodyGyroJerkMag.meanFreq.." "avg_angle.tBodyAccMean.gravity." "avg_angle.tBodyAccJerkMean..gravityMean." "avg_angle.tBodyGyroMean.gravityMean." "avg_angle.tBodyGyroJerkMean.gravityMean." "avg_angle.X.gravityMean." "avg_angle.Y.gravityMean." "avg_angle.Z.gravityMean."
1 2 "WALKING_UPSTAIRS" 3.22257053291536 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 3 "WALKING_DOWNSTAIRS" 2.60714285714286 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 1 "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.106763418901788 0.105734176023146 0.087210586428 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.509147543673841 -0.767087015496689 0.0868000536209801 -0.139776595362185 -0.0942651868218543 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.00576500648245033 -0.0702155008665563 0.0513627291214901 -0.514569861316887 -0.646662308457285 0.192199738218212 -0.509746432970861 -0.518800797709272 0.193066821118212 -0.699742945221854 -0.725310337688742 0.0471324812379801 -0.751615078360927 -0.744194981440397 0.124612068599768 0.00987176748993709 0.0140445759570199 0.0745850523983444 -0.0372927976207285 -0.434486657251656 0.17228684113245 -0.0788654586730132
3 3 "WALKING_DOWNSTAIRS" 3.5425219941349 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4 1 "WALKING" 0.274183111498423 -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 -0.709492735962145 0.706593043123028 0.112591195496986 0.164130896618297 -0.962636979274448 -0.941416800167192 -0.941403426072555 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.631853083289621 -0.584063204701893 -0.843353231167192 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.701397703369085 -0.79823574873817 -0.726374197066246 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.723788617823344 -0.902502592618297 -0.748369141315457 -0.56158213510694 -0.606556049548896 -0.56158213510694 -0.606556049548896 -0.656116311856877 -0.647249966810726 -0.656291093847319 -0.706738493542587 -0.819191368044164 -0.844187064164038 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.597551324155678 -0.534661524341987 -0.708764043722397 -0.184518571319811 0.0847707537883281 -0.0164096855119621 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.644622004704416 -0.593855151524606 -0.860544668359621 -0.000543991796466877 -0.180584111376656 -0.110565549338486 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.721749187328076 -0.782885735867508 -0.7670895729653 -0.118518212447287 -0.375332544565931 0.0241889403249211 -0.602098037677603 -0.672948341687697 0.0963636689322397 -0.63501900541041 -0.666506718936908 0.160479882559811 -0.745650754608833 -0.732586304826498 -0.129301517256877 -0.838833209652997 -0.863096864037855 0.159075727514984 0.008033303979653 -0.0111447541222713 0.0270807733943218 0.0117778301287066 -0.576544037003155 -0.0323627459022082 -0.0954624208030915
5 3 "WALKING_DOWNSTAIRS" 3.50662251655629 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
6 3 "WALKING_DOWNSTAIRS" 3.53846153846154 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
7 3 "WALKING_DOWNSTAIRS" 3.47077922077922 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8 3 "WALKING_DOWNSTAIRS" 3.91176470588235 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8 4 "SITTING" 3.4804469273743 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
